Time,l_per,l_abs,b_per,b_abs
1761457628,37.1,418,20.8,163
1761457633,38.9,439,23.1,181
1761457639,39.5,446,24.7,193
1761457660,39.8,449,24.9,195
1761457690,40.1,452,25.2,197
1761457738,41.2,465,25.7,201
1761457770,41.7,470,26.0,203
1761457801,42.3,477,26.2,205
1761457848,43.3,488,26.6,208
1761457899,43.3,488,26.9,210
1761457948,43.5,491,27.0,211
1761458025,44.1,497,27.2,213
1761458137,44.3,500,27.4,214
1761458200,44.6,503,27.7,217
1761458288,44.9,507,27.7,217
1761458371,45.3,511,28.1,220
1761458382,45.8,517,28.6,224
1761458403,45.9,518,28.9,226
1761458435,48.5,547,30.2,236
1761458495,48.7,549,30.4,238
1761458542,49.0,553,30.9,242
1761458575,51.7,583,32.4,253
1761458638,52.2,589,32.9,257
1761458713,52.7,595,33.6,263
1761458809,52.9,597,33.9,265
1761458871,53.1,599,34.3,268
1761458898,53.2,600,34.4,269
1761458985,53.2,600,34.4,269
1761459042,53.5,604,35.4,277
1761459099,54.4,614,36.1,282
1761459171,54.6,616,36.3,284
1761459214,55.1,622,36.7,287
1761459337,55.5,626,37.0,289
1761459436,56.4,636,38.0,297
1761459512,56.4,636,38.0,297
1761459586,56.4,636,38.0,297
1761459604,56.6,639,38.4,300
1761459674,56.6,639,38.4,300
1761459746,56.9,642,38.5,301
1761459812,56.9,642,38.5,301
1761460117,57.2,645,38.6,302
1761460286,57.2,645,38.6,302
1761460378,57.2,645,38.7,303
1761460419,57.2,645,38.7,303
1761460521,57.4,648,38.9,304
1761460566,57.5,649,39.0,305
1761460746,57.8,652,39.1,306
1761460953,57.9,653,39.3,307
1761460985,57.9,653,39.3,307
1761461050,57.9,653,39.3,307
1761461146,58.0,654,39.4,308
1761461193,61.3,692,41.2,322
