Time,l_per,l_abs,b_per,b_abs
1761461688,25.9,292,13.6,106
1761464432,25.9,292,13.6,106
1761463818,26.0,293,14.1,110
1761462465,26.4,298,14.7,115
1761463872,26.4,298,14.8,116
1761462532,26.7,301,15.0,117
1761461932,27.5,310,15.5,121
1761461973,28.6,322,15.9,124
1761461877,29.3,330,16.1,126
1761464678,29.8,336,16.4,128
1761462137,31.6,356,17.9,140
1761462220,33.2,374,18.8,147
1761462288,34.3,386,19.2,150
1761462182,35.0,395,19.9,156
1761462991,35.8,403,20.5,160
1761464414,35.8,403,20.7,162
