Time,l_per,l_abs,b_per,b_abs
1761457615,37.1,418,20.8,163
1761457616,38.9,439,23.1,181
1761457625,39.5,446,24.7,193
1761457639,39.5,446,24.8,194
1761457677,40.0,451,25.1,196
1761457697,40.8,460,25.4,199
1761457715,41.1,464,25.6,200
1761457749,41.8,472,26.0,203
1761457780,41.8,472,26.0,203
1761457868,42.5,479,26.3,206
1761457921,42.7,482,26.5,207
1761457970,43.5,491,26.9,210
1761458008,43.7,493,26.9,210
1761458060,44.1,497,27.2,213
1761458110,44.2,499,27.2,213
1761458181,44.8,505,27.5,215
1761458224,44.8,505,27.7,217
1761458325,45.1,509,28.3,221
1761458352,45.3,511,28.8,225
1761458406,45.4,512,28.9,226
1761458443,45.7,515,29.0,227
1761458497,45.9,518,29.2,228
1761458574,48.7,549,30.7,240
1761458606,48.8,550,30.9,242
1761458653,49.2,555,31.6,247
1761458709,50.0,564,32.1,251
1761458740,50.2,566,32.4,253
1761458792,51.1,576,33.0,258
1761458889,51.9,585,33.6,263
1761458997,52.4,591,34.1,267
1761459060,52.6,593,34.5,270
1761459153,52.8,596,34.8,272
1761459176,52.9,597,34.9,273
1761459246,53.3,601,35.5,278
1761459310,53.3,601,35.5,278
1761459363,53.5,604,36.1,282
1761459583,56.5,637,37.5,293
1761459629,56.5,637,37.5,293
1761459740,56.7,640,37.9,296
1761459787,56.8,641,38.0,297
1761459892,56.9,642,38.1,298
1761460026,57.4,648,38.6,302
1761460085,57.5,649,38.7,303
1761460231,57.9,653,39.0,305
1761460336,58.2,656,39.4,308
1761460403,58.2,656,39.4,308
1761460548,61.5,694,41.2,322
1761460612,61.6,695,41.3,323
1761460671,61.7,696,41.4,324
1761460724,61.7,696,41.4,324
1761460877,61.7,696,41.4,324
1761460996,61.8,697,41.6,325
1761461161,62.1,701,41.8,327
1761461161,62.1,701,41.8,327
