Time,l_per,l_abs,b_per,b_abs
1761457619,37.1,418,20.8,163
1761457620,38.9,439,23.1,181
1761457626,39.5,445,24.4,191
1761457640,39.8,449,24.8,194
1761457673,40.3,455,25.2,197
1761457725,40.6,458,25.4,199
1761457764,41.5,468,25.8,202
1761457802,42.1,475,26.2,205
1761457901,42.4,478,26.3,206
1761457925,42.6,481,26.5,207
1761457968,42.9,484,26.6,208
1761458062,43.8,494,27.0,211
1761458089,43.8,494,27.0,211
1761458132,43.9,495,27.4,214
1761458226,44.2,499,27.5,215
1761458305,44.2,499,27.5,215
1761458351,44.9,507,27.7,217
1761458507,45.1,509,27.7,217
1761458536,48.0,542,29.9,234
1761458640,48.4,546,30.4,238
1761458681,48.7,549,30.8,241
1761458709,48.8,550,31.1,243
1761458753,49.2,555,31.5,246
1761458769,51.8,584,32.9,257
1761458790,52.5,592,33.1,259
1761458833,53.2,600,33.9,265
1761458854,53.3,601,34.0,266
1761458899,53.3,601,34.0,266
1761458987,53.9,608,34.9,273
1761459032,54.5,615,35.9,281
1761459118,54.7,617,36.2,283
1761459172,55.0,620,36.7,287
1761459236,55.2,623,36.8,288
1761459309,56.6,639,38.0,297
1761459404,56.6,639,38.0,297
1761459453,56.9,642,38.2,299
1761459541,57.2,645,38.4,300
1761459643,57.2,645,38.5,301
1761459836,57.2,645,38.5,301
1761459874,57.4,648,38.7,303
1761459996,57.7,651,38.9,304
1761460184,57.9,653,39.1,306
1761460239,57.9,653,39.1,306
1761460352,57.9,653,39.1,306
1761460430,58.0,654,39.3,307
1761460508,61.4,693,41.2,322
1761460590,61.7,696,41.6,325
1761460649,61.7,696,41.6,325
1761460847,61.7,696,41.6,325
1761460924,61.7,696,41.6,325
1761461165,62.5,705,42.2,330
1761461188,62.5,705,42.2,330
