Time,l_per,l_abs,b_per,b_abs
1761461685,25.9,292,13.6,106
1761463050,25.9,292,13.6,106
1761461686,26.0,293,14.3,112
1761461816,26.1,294,14.5,113
1761462768,26.2,295,14.7,115
1761465225,26.6,300,15.0,117
1761461958,27.2,307,15.3,120
1761462086,28.4,320,15.9,124
1761462110,29.8,336,16.6,130
1761462183,30.6,345,17.0,133
1761464848,32.1,362,17.8,139
1761462095,32.8,370,18.0,141
1761462368,33.7,380,18.7,146
1761462599,34.3,386,19.1,149
1761463305,35.0,395,19.4,152
1761465085,35.8,403,20.7,162
